Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,456.500000,480.000000,455.600006,478.799988,423.468567,854489
2018-05-21,480.000000,493.399994,475.899994,487.500000,434.954712,944860
2018-05-28,490.299988,495.700012,482.200012,491.799988,438.791199,863309
2018-06-04,492.600006,505.399994,473.700012,505.399994,450.925323,1117925
2018-06-11,505.200012,522.400024,495.100006,512.000000,456.813995,1094224
2018-06-18,511.000000,512.400024,478.000000,486.000000,433.616394,1165645
2018-06-25,483.000000,494.000000,468.700012,483.600006,431.475067,1172253
2018-07-02,475.700012,483.799988,467.700012,476.500000,425.140350,1008169
2018-07-09,480.700012,496.500000,475.000000,492.500000,439.415802,958363
2018-07-16,493.200012,506.399994,483.399994,486.799988,434.330170,829058
2018-07-23,484.600006,509.600006,463.100006,464.000000,413.987671,1624770
2018-07-30,465.000000,469.399994,451.600006,459.500000,409.972687,1187802
2018-08-06,462.200012,473.600006,455.899994,464.600006,414.523041,911696
2018-08-13,463.200012,472.799988,449.600006,453.100006,404.262543,1027545
2018-08-20,455.799988,466.399994,454.000000,457.200012,407.920654,836644
2018-08-27,460.399994,487.399994,459.899994,468.000000,417.556519,910875
2018-09-03,468.500000,468.600006,428.200012,447.200012,398.998474,1489606
2018-09-10,448.100006,455.500000,440.000000,447.200012,398.998474,1326232
2018-09-17,446.600006,460.100006,436.899994,454.700012,405.690125,4711411
2018-09-24,454.299988,467.000000,452.100006,461.700012,411.935608,1244999
2018-10-01,462.700012,469.500000,414.700012,429.100006,382.849396,1738690
2018-10-08,427.200012,428.000000,365.100006,379.700012,338.773956,3119174
2018-10-15,380.200012,390.899994,359.000000,360.200012,321.375793,1966672
2018-10-22,369.799988,398.799988,351.700012,377.399994,336.721863,2449256
2018-10-29,384.399994,427.299988,368.200012,421.000000,375.622437,2137346
2018-11-05,421.000000,421.000000,383.100006,393.200012,350.818909,1254245
2018-11-12,395.899994,404.500000,386.500000,389.600006,347.606903,1159839
2018-11-19,391.500000,396.000000,369.100006,390.299988,348.231415,1098054
