Date,Open,High,Low,Close,Adj Close,Volume
2019-05-27,486.250000,491.200012,456.200012,465.950012,415.126404,1671305
2019-06-03,461.250000,484.700012,455.700012,479.600006,427.287476,1380148
2019-06-10,483.850006,497.649994,480.049988,486.450012,433.390350,1071765
2019-06-17,488.700012,521.000000,485.950012,516.200012,459.895325,1594272
2019-06-24,515.000000,523.799988,505.600006,520.099976,463.369904,1089128
2019-07-01,524.000000,532.700012,518.900024,522.200012,465.240845,821571
2019-07-08,518.700012,526.099976,512.000000,522.200012,465.240845,745097
2019-07-15,524.299988,534.200012,512.000000,522.700012,465.686401,907006
2019-07-22,521.299988,534.200012,458.399994,473.250000,421.630096,1850192
2019-07-29,470.000000,483.799988,447.500000,450.899994,401.717926,1930002
2019-08-05,443.149994,456.700012,436.399994,454.600006,405.014374,1676486
2019-08-12,455.450012,458.600006,420.350006,432.299988,385.146698,1565982
2019-08-19,436.500000,444.049988,423.799988,426.000000,379.533936,1183085
2019-08-26,423.899994,445.299988,420.000000,440.399994,392.363281,939964
2019-09-02,442.450012,460.950012,427.700012,453.750000,404.257111,1088268
2019-09-09,454.299988,479.899994,441.250000,468.600006,417.487335,1378160
2019-09-16,462.000000,469.399994,457.399994,468.950012,417.799164,1241555
2019-09-23,465.350006,471.149994,451.450012,464.750000,414.057281,945963
2019-09-30,464.750000,470.750000,434.200012,441.899994,393.699646,1152014
2019-10-07,441.750000,472.299988,437.350006,471.850006,420.382874,1164665
2019-10-14,470.049988,488.649994,465.200012,469.649994,418.422791,1144215
2019-10-21,471.000000,523.900024,467.950012,514.000000,457.935303,1485113
2019-10-28,515.099976,520.000000,507.399994,515.000000,458.826233,933934
2019-11-04,517.599976,527.700012,516.099976,519.599976,462.924408,935567
2019-11-11,514.400024,546.599976,510.299988,545.799988,486.266632,952271
2019-11-18,546.000000,552.200012,536.200012,541.400024,482.346680,949324
2019-11-25,542.099976,553.400024,541.900024,546.700012,487.068573,867392
2019-12-02,546.000000,551.400024,522.299988,549.099976,489.206726,1092958
2019-12-09,547.900024,567.599976,536.299988,562.000000,500.699677,961126
2019-12-16,564.799988,585.000000,564.599976,580.099976,516.825317,1281064
2019-12-23,579.200012,593.799988,578.599976,590.700012,526.269287,278675
2019-12-30,591.299988,600.900024,582.200012,600.900024,535.356689,527897
2020-01-06,595.700012,601.400024,576.299988,592.099976,527.516418,977034
2020-01-13,591.700012,614.900024,584.299988,610.200012,543.642273,1067229
2020-01-20,611.700012,613.599976,570.900024,573.299988,513.795654,1237350
2020-01-27,547.599976,570.799988,542.200012,555.000000,497.394989,1650205
2020-02-03,555.000000,579.900024,550.000000,565.700012,506.984344,1187700
2020-02-10,562.000000,598.000000,559.000000,579.400024,519.262512,1399735
2020-02-17,578.000000,587.000000,555.599976,561.599976,503.309998,1154755
2020-02-24,535.599976,545.000000,484.250000,505.799988,453.301544,2267591
2020-03-02,517.299988,523.500000,475.500000,483.500000,433.316223,1812863
2020-03-09,441.950012,485.100006,378.399994,405.000000,362.963898,3454189
2020-03-16,372.649994,422.799988,348.549988,419.700012,376.138184,2769099
2020-03-23,395.000000,493.500000,382.600006,479.500000,429.731323,1724328
2020-03-30,479.850006,502.600006,444.500000,452.700012,405.712982,1236785
2020-04-06,469.000000,498.799988,458.299988,473.700012,424.533356,840776
2020-04-13,473.700012,513.099976,470.600006,503.399994,451.150696,913265
2020-04-20,508.600006,510.500000,445.450012,451.350006,404.503143,939425
2020-04-27,455.799988,482.000000,455.399994,460.200012,412.434570,672907
2020-05-04,458.399994,460.250000,433.500000,447.500000,401.052673,1166552
2020-05-11,448.799988,452.250000,405.100006,411.350006,368.654816,1023609
2020-05-18,415.700012,443.600006,415.700012,422.899994,379.005981,1168571
2020-05-25,428.000000,483.600006,420.649994,469.600006,420.858917,1362645
2020-06-01,480.000000,537.700012,469.649994,536.099976,480.456665,1324704
2020-06-08,531.099976,534.500000,477.000000,487.350006,436.766632,1340373
2020-06-15,473.549988,518.799988,466.450012,509.899994,456.976044,1489018
2020-06-22,503.000000,513.200012,464.049988,477.000000,427.490814,1212521
2020-06-29,475.549988,498.500000,469.850006,494.799988,447.438324,868817
2020-07-06,504.700012,507.399994,491.149994,499.750000,451.914520,753327
2020-07-13,505.000000,525.799988,496.500000,515.400024,466.066528,851165
