<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SBER,60,20211207,080000,307.5000000,313.0300000,306.3600000,310.8000000
SBER,60,20211207,090000,310.8000000,311.7000000,309.6700000,310.9900000
SBER,60,20211207,100000,310.9900000,311.1700000,308.2700000,310.7000000
SBER,60,20211207,110000,310.6800000,312.8000000,302.3600000,302.8100000
SBER,60,20211207,120000,302.8100000,308.1700000,302.3000000,305.9000000
SBER,60,20211207,130000,305.7800000,307.0000000,304.2700000,305.7800000
SBER,60,20211207,140000,305.8400000,308.4600000,305.6000000,306.9500000
SBER,60,20211207,150000,306.9500000,308.8800000,304.7000000,306.2100000
SBER,60,20211207,160000,306.3200000,307.6800000,304.1900000,306.6500000
SBER,60,20211207,170000,306.6100000,306.8100000,301.6600000,303.0000000
SBER,60,20211207,180000,302.9700000,304.2100000,300.6100000,301.5600000
SBER,60,20211207,190000,301.5700000,309.3900000,300.5000000,308.0000000
SBER,60,20211207,200000,308.0600000,311.3800000,306.0000000,310.4800000
SBER,60,20211207,210000,310.4000000,310.7300000,308.5000000,309.8800000
SBER,60,20211207,220000,309.8800000,310.4800000,308.7600000,310.0000000
SBER,60,20211207,230000,309.9600000,310.5300000,309.3700000,310.5300000
SBER,60,20211208,000000,310.5200000,310.9300000,309.3500000,309.7900000
SBER,60,20211208,080000,310.9700000,312.8600000,310.5200000,311.9000000
SBER,60,20211208,090000,311.9100000,312.4600000,310.8000000,311.2800000
SBER,60,20211208,100000,311.2800000,313.4900000,311.1000000,313.3000000
SBER,60,20211208,110000,313.3000000,316.8800000,306.5000000,309.2000000
SBER,60,20211208,120000,309.3100000,310.3100000,307.5200000,310.0500000
SBER,60,20211208,130000,310.0500000,310.6300000,308.5100000,309.7100000
SBER,60,20211208,140000,309.7100000,310.1000000,306.8000000,306.9200000
SBER,60,20211208,150000,306.9200000,307.6600000,304.5000000,305.0200000
SBER,60,20211208,160000,305.0200000,305.1300000,300.5300000,300.6400000
SBER,60,20211208,170000,300.6200000,300.9000000,296.5000000,297.3700000
SBER,60,20211208,180000,297.4800000,297.9900000,293.1100000,296.5100000
SBER,60,20211208,190000,296.5100000,296.6900000,291.5700000,291.5700000
SBER,60,20211208,200000,292.1100000,295.8000000,292.0000000,295.7600000
SBER,60,20211208,210000,295.7600000,297.5800000,295.4900000,296.6000000
SBER,60,20211208,220000,296.6000000,297.3200000,296.3700000,296.9500000
SBER,60,20211208,230000,296.9500000,297.2000000,296.3700000,296.8500000
SBER,60,20211209,000000,296.8500000,296.9900000,296.3700000,296.9500000
SBER,60,20211209,080000,297.4900000,297.6600000,292.5000000,293.6800000
SBER,60,20211209,090000,293.8500000,296.6700000,293.6100000,295.7300000
SBER,60,20211209,100000,295.7000000,296.8400000,295.0000000,295.4000000
SBER,60,20211209,110000,295.3900000,300.4200000,292.7000000,298.7200000
SBER,60,20211209,120000,298.7300000,301.8000000,296.5500000,300.7800000
SBER,60,20211209,130000,300.7900000,301.6800000,298.5500000,301.3800000
SBER,60,20211209,140000,301.3700000,304.9400000,300.6600000,303.5100000
SBER,60,20211209,150000,303.5400000,304.5400000,302.6500000,303.3900000
SBER,60,20211209,160000,303.3400000,304.5500000,300.5000000,301.4900000
SBER,60,20211209,170000,301.5000000,304.0000000,301.2800000,302.8600000
SBER,60,20211209,180000,302.8600000,303.6800000,301.8000000,302.8500000
SBER,60,20211209,190000,302.9100000,304.5400000,302.5200000,302.6000000
SBER,60,20211209,200000,302.4900000,303.0400000,300.8100000,302.0800000
SBER,60,20211209,210000,301.9600000,302.4000000,301.5200000,302.4000000
SBER,60,20211209,220000,302.4000000,302.4000000,301.7000000,301.7900000
SBER,60,20211209,230000,301.7900000,302.1800000,298.2500000,299.7200000
SBER,60,20211210,000000,299.6200000,300.7000000,298.8700000,300.4000000
SBER,60,20211210,080000,300.4100000,301.4800000,299.1000000,299.9000000
SBER,60,20211210,090000,299.7900000,300.4900000,299.5000000,299.9800000
SBER,60,20211210,100000,299.9000000,301.3300000,299.5300000,301.1400000
SBER,60,20211210,110000,301.1400000,302.3700000,297.0000000,299.1900000
SBER,60,20211210,120000,299.1500000,300.4400000,296.0100000,297.7200000
SBER,60,20211210,130000,297.7000000,299.3700000,297.0100000,298.7300000
SBER,60,20211210,140000,298.7200000,299.4400000,297.3200000,298.4300000
SBER,60,20211210,150000,298.4300000,299.2000000,297.6800000,299.0500000
SBER,60,20211210,160000,299.0400000,304.2800000,299.0000000,302.3900000
SBER,60,20211210,170000,302.3000000,302.8000000,297.5000000,298.6200000
SBER,60,20211210,180000,298.6200000,299.1800000,295.0500000,295.0500000
SBER,60,20211210,190000,295.2100000,296.8000000,294.5900000,295.0000000
SBER,60,20211210,200000,295.0000000,296.9600000,294.4300000,296.5000000
SBER,60,20211210,210000,296.5000000,297.2000000,296.1800000,296.7900000
SBER,60,20211210,220000,296.7900000,296.8700000,296.0000000,296.6300000
SBER,60,20211210,230000,296.6300000,297.1900000,296.4100000,297.1700000
SBER,60,20211211,000000,297.1800000,297.6400000,297.1200000,297.4400000
SBER,60,20211213,080000,298.2800000,300.2400000,298.2300000,299.2100000
SBER,60,20211213,090000,299.2000000,299.4000000,298.0000000,298.3000000
SBER,60,20211213,100000,298.1600000,300.9900000,298.0100000,300.5000000
SBER,60,20211213,110000,300.6000000,300.7600000,294.4000000,294.4300000
SBER,60,20211213,120000,294.4000000,295.6700000,290.7100000,291.4800000
SBER,60,20211213,130000,291.5000000,293.0000000,290.0100000,291.7900000
SBER,60,20211213,140000,291.7900000,294.1100000,291.7900000,292.6800000
SBER,60,20211213,150000,292.6800000,293.9600000,291.2900000,291.6700000
SBER,60,20211213,160000,291.6700000,291.9700000,287.5600000,288.0000000
SBER,60,20211213,170000,287.9300000,288.5500000,284.0800000,284.3300000
SBER,60,20211213,180000,284.3300000,286.6000000,282.7600000,286.0800000
