Date,Open,High,Low,Close,Adj Close,Volume
2005-12-12,86.577713,86.949493,83.928795,84.718826,49.856682,2440378
2005-12-19,84.532936,86.531242,83.928795,86.391823,50.841236,1816219
2005-12-26,86.205933,88.854851,85.276489,88.436600,52.044563,1292495
2006-01-02,88.483070,88.668961,86.949493,87.367737,51.415562,2007149
2006-01-09,88.157768,92.340263,87.878937,90.388435,53.193241,3519625
2006-01-16,89.830765,90.760208,87.414215,88.343658,51.989887,2897126
2006-01-23,87.832458,88.808380,86.345352,87.832458,51.689034,3786796
2006-01-30,89.226631,91.085518,87.971878,88.390129,52.017239,2390952
2006-02-06,88.994270,89.180153,87.321266,87.878937,51.716389,1595969
2006-02-13,87.878937,88.250710,87.135376,87.414215,51.442913,1724705
2006-02-20,87.553627,90.063126,87.088905,89.877235,52.892380,2171809
2006-02-27,90.620796,91.736130,89.226631,90.341965,53.165871,2555501
2006-03-06,90.341965,90.527847,87.088905,88.715431,52.208672,2858319
2006-03-13,88.947792,93.873848,87.971878,92.293793,54.314522,3913734
2006-03-20,92.293793,93.687958,91.178459,93.037346,54.752098,2132292
2006-03-27,93.037346,93.130295,91.364349,92.619095,54.505959,1983614
2006-04-03,92.944405,93.409126,91.457291,91.829071,54.041027,1667469
2006-04-10,91.736130,91.829071,88.390129,89.691353,52.783005,2089393
2006-04-17,89.970184,92.944405,88.576019,92.944405,54.697407,2330556
2006-04-24,92.851456,97.963402,91.271408,95.546844,56.228916,4282826
2006-05-01,95.546844,96.197456,94.617401,95.732735,56.338333,1689260
2006-05-08,96.011566,98.892845,94.989182,95.546844,56.228916,2545451
2006-05-15,94.803291,95.268013,90.620796,91.317879,53.740185,3278380
2006-05-22,91.364349,91.782600,87.367737,91.224930,53.685528,2975157
2006-05-29,91.131989,91.968491,87.971878,88.018349,51.798431,2587143
2006-06-05,88.250710,89.133682,81.651657,84.951187,51.603409,4025779
2006-06-12,84.951187,90.853157,82.069908,89.226631,54.200508,5146092
2006-06-19,89.737823,91.968491,89.273102,90.574326,55.546288,2903531
2006-06-26,91.039047,92.851456,89.598404,92.665573,56.828796,2485334
2006-07-03,92.851456,92.851456,89.366043,90.853157,55.717293,3229476
2006-07-10,90.481377,93.966789,90.434906,91.131989,55.888294,4199441
2006-07-17,91.085518,93.409126,90.341965,93.223236,57.170788,3400721
2006-07-24,93.409126,97.870461,92.758514,97.777512,59.963760,2966925
2006-07-31,97.684570,97.963402,94.431511,95.453903,58.538776,2400696
2006-08-07,94.152679,95.546844,92.944405,93.595016,57.398788,1490560
2006-08-14,93.966789,97.591621,93.873848,96.941010,59.450764,1892531
2006-08-21,96.848068,97.126900,95.918625,96.383347,59.108784,911717
2006-08-28,96.476288,102.052956,96.104515,101.681175,62.357754,3365846
2006-09-04,102.145897,102.238846,99.543457,101.495293,62.243763,3479774
2006-09-11,100.844681,104.469513,100.472900,103.633011,63.554768,4122029
2006-09-18,104.004791,104.841286,101.867065,102.238846,62.699776,3453514
2006-09-25,102.517677,110.603844,102.238846,108.652008,66.632736,5228225
2006-10-02,109.209679,110.696785,106.421341,110.325005,67.658745,3445865
2006-10-09,110.046173,111.068565,108.559067,109.209679,66.974770,3556384
2006-10-16,109.581451,109.767342,105.398956,109.581451,67.202751,3884850
2006-10-23,109.581451,113.392174,108.559067,109.674400,67.259750,5106012
2006-10-30,108.837898,110.232063,107.536674,108.094345,66.290764,2118792
2006-11-06,108.466118,111.626228,108.280228,110.603844,67.829750,1547713
2006-11-13,110.510895,112.090950,109.860283,111.254456,68.228729,1501027
2006-11-20,110.603844,111.626228,107.536674,109.209679,66.974770,1324650
2006-11-27,108.744949,110.046173,105.677788,106.886063,65.549744,2688521
2006-12-04,106.886063,108.373177,103.261230,104.004791,63.782784,3685862
2006-12-11,104.562454,106.607231,104.469513,105.863678,64.922760,3174496
2006-12-18,105.770729,105.863678,103.261230,103.633011,63.554768,2393088
2006-12-25,104.004791,105.213066,103.540070,105.213066,64.523750,978623
2007-01-01,106.049568,108.187286,105.491898,105.863678,64.922760,1665714
2007-01-08,105.956619,107.443733,103.354179,107.257843,65.777763,2968336
2007-01-15,107.443733,107.722565,102.238846,103.168289,63.269772,3817147
2007-01-22,103.261230,105.863678,101.216454,104.283623,63.953758,4563823
2007-01-29,104.841286,108.187286,104.190674,107.443733,65.891747,2840283
2007-02-05,107.536674,107.629623,104.748344,105.120117,64.466759,2510392
2007-02-12,104.934235,107.722565,103.168289,107.350784,65.834755,3472972
2007-02-19,107.350784,110.650314,106.979012,110.380775,67.692955,3905990
2007-02-26,110.687492,111.533287,102.703568,103.707367,63.600384,5027814
2007-03-05,102.052956,110.417953,100.194069,109.841698,67.362343,5184607
2007-03-12,110.064766,110.510895,105.398956,110.101944,67.521942,3761128
2007-03-19,110.603844,112.806625,109.302620,112.490608,68.986855,3100618
2007-03-26,112.918159,112.918159,109.878876,111.263748,68.234459,2563958
2007-04-02,111.477516,120.539597,110.826904,119.842514,73.495529,5522905
2007-04-09,119.842514,124.062187,118.150925,120.177116,73.700722,6100257
2007-04-16,120.177116,120.455948,114.879280,117.992920,72.361237,4165483
2007-04-23,118.727180,120.641838,117.175011,118.782951,72.845749,2309810
2007-04-30,118.206696,120.539597,116.738174,118.327522,72.566422,2140365
2007-05-07,118.020805,118.913071,116.161919,118.169518,72.469543,2456818
2007-05-14,117.872093,121.738579,117.797737,121.301743,74.390450,2653486
2007-05-21,121.292450,125.149643,120.446655,124.025017,76.060516,2762460
2007-05-28,124.025017,126.776169,122.593666,124.452560,76.322716,2541808
2007-06-04,124.917282,125.028809,116.552284,117.546791,73.844612,2847696
2007-06-11,119.591568,121.887291,117.388779,121.227386,76.156822,3127713
2007-06-18,121.199501,122.017410,118.048691,118.662125,74.979652,2663493
2007-06-25,118.020805,120.818428,117.100655,120.418770,76.089622,2139616
2007-07-02,120.112053,122.760971,118.327522,122.760971,77.569595,2504797
2007-07-09,122.760971,123.300049,119.786751,121.599167,76.835487,2525899
2007-07-16,121.757172,124.406082,120.837021,123.002625,77.722298,2934583
2007-07-23,122.686615,123.801949,116.682404,117.295837,74.116318,3172517
2007-07-30,117.175011,119.684509,116.282745,117.370193,74.163300,2799310
2007-08-06,115.288239,117.147125,110.325005,111.152214,70.234322,3988342
2007-08-13,112.369781,113.169106,103.084641,105.724258,66.804535,4365919
2007-08-20,106.728058,112.462730,105.231651,112.462730,71.062401,3356358
2007-08-27,112.722977,119.898277,109.116730,117.946449,74.527428,3057595
2007-09-03,119.117546,121.998825,116.924057,117.481728,74.233772,3827335
2007-09-10,117.481728,121.199501,116.292038,120.827728,76.348038,2745427
2007-09-17,120.874199,123.402283,117.602554,122.138245,77.176109,3089475
2007-09-24,122.138245,122.937561,119.944756,122.630844,77.487389,2789023
2007-10-01,121.757172,128.309753,121.673515,127.845032,80.782097,2992918
2007-10-08,128.263275,131.516327,125.065987,127.268768,80.417976,2592713
2007-10-15,127.268768,127.529015,124.545502,126.822639,80.136070,2169136
2007-10-22,124.591972,126.116264,120.920670,122.482140,77.393402,2937223
2007-10-29,123.151337,127.845032,121.208794,122.500725,77.405151,3091466
2007-11-05,121.757172,123.513817,111.273041,113.196991,71.526352,4897748
2007-11-12,112.648621,117.035591,110.287827,110.864082,70.052261,3349512
2007-11-19,111.263748,112.314018,103.317001,110.297127,69.693993,4544554
2007-11-26,110.603844,111.440338,101.448814,106.913948,67.556252,5623742
2007-12-03,106.913948,109.860283,102.415436,109.033081,68.895287,4846670
2007-12-10,108.168694,110.417953,102.917336,103.177582,65.195335,3983568
2007-12-17,102.313202,102.908043,99.543457,101.541763,64.161713,5009459
2007-12-24,101.774124,102.424736,101.058449,101.439522,64.097107,1078415
2007-12-31,102.238846,104.804108,93.037346,93.046646,58.793858,4619977
2008-01-07,93.046646,94.533752,84.133270,85.508850,54.030914,7813066
2008-01-14,85.508850,87.646576,77.627167,81.066109,51.223652,6923572
2008-01-21,77.822350,89.691353,74.262581,87.321266,55.176136,12551189
2008-01-28,86.382530,91.410820,85.322960,90.583618,57.237534,5717297
2008-02-04,91.085518,91.262108,83.278183,84.467873,53.373146,5836591
2008-02-11,83.649963,88.715431,82.506744,84.839653,53.608063,3982046
2008-02-18,85.518143,88.092705,83.649963,85.109192,53.778366,3255592
2008-02-25,85.611092,91.643181,84.114685,84.384224,53.320286,4569045
2008-03-03,83.715027,85.202133,79.467468,79.783478,50.413197,3747414
2008-03-10,79.402405,82.441689,78.119774,78.519432,49.614471,3985750
2008-03-17,76.865021,80.257492,76.028519,78.900505,49.855270,3957399
2008-03-24,85.304375,87.702339,83.454781,86.308174,54.535980,4196230
2008-03-31,85.322960,90.156075,82.395210,84.235512,53.226318,4523043
2008-04-07,84.979065,85.369438,77.143852,78.036118,49.309078,4515740
2008-04-14,77.153152,81.177643,75.173431,80.731506,51.012222,4745390
2008-04-21,80.861633,80.954575,75.284966,78.166245,49.391304,5944075
2008-04-28,78.184830,80.489853,76.037819,79.811363,50.430817,3351117
2008-05-05,79.792770,81.930489,78.101181,78.398605,49.538116,3337301
2008-05-12,78.807564,83.640671,77.125267,82.850639,52.351265,4220206
2008-05-19,83.696434,83.696434,76.418892,76.558304,48.375286,4169979
2008-05-26,76.679131,78.993446,74.718002,78.073296,49.332573,4067513
2008-06-02,78.166245,81.326355,76.437477,78.333542,49.497021,4237998
2008-06-09,77.562103,78.956268,71.660133,74.773773,47.247669,5219309
2008-06-16,74.820244,75.275673,69.336525,70.414680,47.254711,4398229
2008-06-23,69.931366,71.316238,64.410469,65.786049,44.148464,5418336
2008-06-30,65.451447,66.325127,59.252056,61.045883,40.967388,4879113
2008-07-07,61.334011,61.808029,54.326004,54.326004,36.457729,5527046
2008-07-14,55.497105,60.618340,52.067455,60.395271,40.530766,7485013
2008-07-21,60.320919,68.574379,56.900562,65.460747,43.930161,7325416
2008-07-28,65.470039,65.618752,60.925056,64.401176,43.219097,4798385
2008-08-04,64.131638,72.143448,64.131638,72.143448,48.414871,5104661
2008-08-11,72.189919,75.647453,70.879402,74.569298,50.042847,5125427
2008-08-18,73.890800,74.485641,68.342018,71.622955,48.065578,4878235
2008-08-25,71.195412,74.727303,69.364410,74.095276,49.724728,4710547
2008-09-01,73.249481,75.540565,67.384689,67.384689,45.221310,5818133
2008-09-08,69.680420,72.450165,66.427368,68.592972,46.032177,4710735
2008-09-15,66.362305,69.373703,63.573971,69.015862,46.315979,8655941
2008-09-22,69.011223,69.150635,61.008705,61.524548,41.288616,5248735
2008-09-29,60.227974,60.841408,53.907753,56.421902,37.864277,4981194
2008-10-06,54.070408,54.744255,38.962296,41.518265,28.251770,10939345
2008-10-13,44.055649,49.344185,37.289295,39.482780,26.866699,9361333
2008-10-20,40.890888,43.093674,34.579964,35.820774,24.374817,6115826
2008-10-27,34.184952,47.197166,33.459984,46.100426,31.369770,8629505
2008-11-03,46.476849,47.596828,41.072132,42.777660,29.108738,6632466
2008-11-10,44.743435,44.989738,33.627285,33.822468,23.015038,7108646
2008-11-17,33.924706,33.961884,28.868530,29.314665,19.947630,8201385
2008-11-24,29.983864,35.281696,29.584204,34.714733,23.622192,5515614
2008-12-01,34.226776,36.341263,29.937391,30.160460,20.523163,5581313
2008-12-08,32.623486,38.757816,32.158764,37.182407,25.301361,6628862
2008-12-15,38.004967,44.631901,36.517857,43.721046,29.750683,6155168
2008-12-22,43.651340,44.274055,41.127899,41.750626,28.409880,1285847
2008-12-29,41.806393,46.472202,41.309139,46.472202,31.622757,1549044
2009-01-05,46.472202,49.028172,41.890041,42.475594,28.903189,6084257
2009-01-12,42.201405,42.814838,37.382240,39.552490,26.914122,4909255
2009-01-19,39.882442,40.068333,33.692345,34.770500,23.660139,6111837
2009-01-26,34.552082,39.315483,34.463783,36.833866,25.064192,4727048
2009-02-02,36.197197,42.670776,35.272400,42.647530,29.020184,4144724
2009-02-09,42.289703,43.655987,38.822876,39.543186,26.907793,4055497
2009-02-16,39.296894,41.504322,37.521656,39.984680,27.208212,4808119
2009-02-23,40.909477,44.529663,38.739227,44.148594,30.041613,6179435
2009-03-02,43.479393,45.761177,42.061989,43.432919,29.554628,6291080
2009-03-09,44.325188,47.731598,41.685566,45.473049,30.942862,4720004
2009-03-16,46.388554,49.925087,45.895947,48.410091,32.941418,4376897
2009-03-23,48.410091,49.381363,44.111416,45.245335,30.787910,4933493
2009-03-30,44.097473,53.066608,43.130852,52.188282,35.512348,4861183
2009-04-06,53.122375,53.907753,48.451920,53.889164,36.669739,4238455
2009-04-13,53.889164,55.385571,52.838894,55.255447,37.599453,3741538
2009-04-20,54.837196,56.528786,50.654701,56.528786,38.465908,6230480
2009-04-27,55.208977,57.263046,53.252487,54.326004,36.966991,3950811
2009-05-04,54.576954,60.395271,54.409653,59.289234,40.344299,4295424
2009-05-11,58.192490,58.276142,50.227158,52.011688,35.392181,3501563
2009-05-18,51.704971,56.974918,50.673290,54.465420,39.246284,2678487
2009-05-25,54.372475,56.798325,52.155750,55.041676,39.661518,2205729
2009-06-01,55.947884,60.330212,55.264744,57.002804,41.074654,2760362
2009-06-08,57.002804,58.973225,55.613285,57.481464,41.419556,2046109
2009-06-15,57.365288,57.513996,50.659348,52.699478,37.973797,3724707
2009-06-22,52.388111,54.000698,49.576546,53.131668,38.285225,2519311
2009-06-29,52.852837,56.570610,52.058159,53.117725,38.275173,2551600
2009-07-06,52.736656,53.433739,51.244888,51.263485,36.939060,1933136
2009-07-13,51.263485,56.417252,51.226307,55.534283,40.016491,2480730
2009-07-20,55.534283,62.514404,55.534283,61.482723,44.302757,2881576
2009-07-27,62.124039,72.868416,60.451038,72.673225,52.366325,5182827
2009-08-03,72.450165,75.963463,70.888695,74.866714,53.946892,4276565
2009-08-10,74.494942,76.353828,70.173027,73.444672,52.922222,3542150
2009-08-17,72.645348,75.257088,70.981644,74.996841,54.040665,2556063
2009-08-24,75.294258,76.195824,73.100777,74.383408,53.598633,2240369
2009-08-31,74.002335,76.056404,71.334831,72.608170,52.319454,2804722
2009-09-07,73.035713,80.564209,72.952065,78.881912,56.840126,3304869
2009-09-14,78.073296,81.307762,77.273979,80.750099,58.186302,2253239
2009-09-21,80.861633,82.153557,77.562103,78.538017,56.592342,2154276
2009-09-28,78.324249,82.302269,77.190331,79.188629,57.061150,2677626
2009-10-05,78.928391,86.670654,77.943176,80.285378,57.851440,3772414
2009-10-12,80.443382,81.168350,78.268478,79.067802,56.974072,2864158
2009-10-19,79.802063,80.638565,74.095276,74.132454,53.417797,3794566
2009-10-26,74.095276,74.662239,67.393990,69.113457,49.801262,3804250
2009-11-02,68.778862,74.448463,67.756470,72.952065,52.567257,3300801
2009-11-09,73.695618,77.608574,73.621262,77.422691,55.788647,2383664
2009-11-16,77.431984,78.314957,75.238495,75.396500,54.328640,1871938
2009-11-23,75.907692,77.738701,73.686325,75.284966,54.248276,2855400
2009-11-30,75.666039,78.249893,74.736595,76.995148,55.480591,3083615
2009-12-07,76.530418,77.785172,74.234695,74.755180,53.866531,2609757
2009-12-14,75.284966,77.404099,74.810951,75.842636,54.650112,2586256
2009-12-21,75.842636,78.082596,75.656746,78.082596,56.264179,1272594
2009-12-28,78.249893,79.262985,76.948669,78.296364,56.418209,660427
2010-01-04,78.296364,81.735306,77.645752,81.475067,58.708691,2410272
2010-01-11,81.670250,83.882324,80.424789,82.181442,59.217690,2375314
2010-01-18,82.348740,85.546028,80.722214,81.577301,58.782349,2249031
2010-01-25,81.112579,83.166656,80.053017,82.209328,59.237770,2108742
2010-02-01,81.791077,84.105392,76.734901,77.413391,55.781967,2665687
2010-02-08,77.794464,80.118073,76.604774,78.370720,56.471790,2356211
2010-02-15,78.751793,81.744606,77.589989,79.365227,57.188408,2835187
2010-02-22,79.746300,79.792770,75.284966,78.342834,56.451683,3209214
2010-03-01,79.374519,83.343246,79.039925,83.278183,60.007977,2506414
2010-03-08,83.464073,88.780495,82.729813,88.092705,63.477200,3731496
2010-03-15,88.287888,90.156075,87.572220,89.282394,64.334442,2663618
2010-03-22,88.761909,90.063126,87.107498,89.756409,64.676003,1884143
2010-03-29,89.858650,93.455597,89.458992,93.316177,67.241074,2221550
2010-04-05,93.316177,96.801598,92.200851,96.662178,69.652115,2233342
2010-04-12,96.708649,99.404037,96.662178,97.080429,69.953468,2730538
2010-04-19,96.336876,102.889458,96.243927,101.495293,73.134705,2841048
2010-04-26,102.238846,103.075340,92.107903,94.292099,67.944305,3880325
2010-05-03,93.873848,95.918625,86.531242,91.485176,65.921700,4430427
2010-05-10,91.085518,98.242233,90.555733,95.221542,68.614021,3666747
2010-05-17,93.641487,97.777512,83.222420,84.309868,60.751381,4278798
2010-05-24,84.969772,91.224930,83.064415,89.998070,67.329689,3799311
2010-05-31,90.434906,94.477989,88.864143,91.131989,68.178009,2251683
2010-06-07,89.877235,95.314484,88.483070,93.641487,70.055428,2087433
2010-06-14,94.710350,99.589928,93.269707,99.125206,74.157921,2071930
2010-06-21,100.937622,102.703568,96.569237,97.173370,72.697708,2388471
2010-06-28,97.731041,99.589928,90.091011,90.379135,67.614784,2979982
2010-07-05,90.750916,94.431511,90.369843,93.734428,70.124947,1272956
2010-07-12,93.966789,96.848068,91.726830,92.163673,68.949844,1359220
2010-07-19,91.550240,98.381653,90.100304,97.080429,72.628174,1833620
2010-07-26,97.405731,98.242233,93.687958,95.407433,71.376572,1328399
2010-08-02,95.825684,99.682877,95.500374,97.405731,72.871544,1331820
2010-08-09,99.032265,99.264626,93.641487,94.292099,70.542168,1177836
2010-08-16,94.803291,97.638100,93.409126,94.570930,70.750771,1349286
2010-08-23,94.989182,96.150986,91.866249,95.965096,71.793755,1496380
2010-08-30,96.336876,101.774124,93.827377,100.333481,75.061852,1623811
2010-09-06,101.727654,102.703568,98.381653,102.331787,76.556847,1992981
2010-09-13,103.075340,108.326706,102.982399,107.676094,80.555038,2290563
2010-09-20,107.769035,110.603844,105.724258,109.627922,82.015244,1602299
2010-09-27,109.627922,111.998009,107.304314,107.954926,80.763641,1999941
2010-10-04,108.233757,108.419647,104.934235,105.166595,78.677650,1873397
2010-10-11,105.491898,111.533287,104.887756,110.789726,82.884430,1732674
2010-10-18,109.023788,109.767342,104.655396,107.954926,80.763641,1908355
2010-10-25,108.047867,111.905060,107.025482,109.488510,81.910957,1906213
2010-11-01,109.767342,111.393867,107.861984,108.559067,81.215614,1608788
2010-11-08,108.652008,109.023788,102.564148,107.257843,80.242149,1864930
2010-11-15,106.886063,110.139122,106.188980,109.999702,82.293404,1181485
2010-11-22,110.696785,116.041084,108.977318,115.994614,86.778336,2394214
2010-11-29,116.087563,119.247673,113.485115,116.970535,87.508438,1775978
2010-12-06,116.877586,119.154724,115.436951,118.736473,88.829590,1584296
2010-12-13,118.736473,119.247673,115.158119,115.204590,86.187309,1424124
2010-12-20,115.251060,115.715782,111.998009,112.369781,84.066505,996901
2010-12-27,111.998009,113.113342,110.510895,110.603844,82.745369,499120
2011-01-03,111.533287,113.438644,107.908455,108.047867,80.833176,1475412
2011-01-10,107.722565,114.135727,106.374870,110.371483,82.571541,2161334
2011-01-17,110.464424,111.161507,104.283623,106.328400,79.546822,2099485
2011-01-24,106.374870,109.860283,105.166595,105.491898,78.921005,1797904
2011-01-31,105.445427,109.395561,104.562454,105.910149,79.233910,2322444
2011-02-07,106.235451,110.139122,106.003090,109.395561,81.841431,1780422
2011-02-14,109.163200,109.581451,104.841286,107.443733,80.381226,2029282
2011-02-21,107.164902,107.769035,102.052956,103.214760,77.217400,1433382
2011-02-28,102.935928,105.445427,101.867065,102.378258,76.591614,2045620
2011-03-07,102.192375,103.958313,99.775818,100.844681,75.444305,2173510
2011-03-14,99.822289,100.426430,91.364349,94.385040,70.611702,5126847
2011-03-21,95.593323,100.008179,94.803291,99.450516,74.401291,2422988
2011-03-28,99.450516,102.517677,98.939316,102.285316,76.522079,1806649
2011-04-04,102.238846,105.352486,101.681175,105.352486,78.816711,1771810
2011-04-11,104.608925,107.025482,104.097733,106.793121,79.894478,1651192
2011-04-18,107.071953,109.813812,105.073647,109.534981,81.945724,1327628
2011-04-25,109.534981,112.602142,109.209679,112.230370,83.962227,1364795
2011-05-02,113.345703,114.089256,109.767342,112.788033,84.379417,1921446
2011-05-09,112.602142,115.483421,111.115036,113.252754,84.727066,1696920
2011-05-16,112.648621,113.996307,111.161507,113.252754,84.727066,1969132
2011-05-23,108.466118,111.347397,106.560760,110.139122,82.397697,2015386
2011-05-30,109.720871,113.252754,108.326706,109.488510,84.523079,1558133
2011-06-06,109.256149,109.767342,105.863678,106.374870,82.119400,1465442
2011-06-13,106.607231,109.720871,105.027176,106.932533,82.549934,2107833
2011-06-20,105.027176,109.906761,104.934235,108.094345,83.446823,1451686
2011-06-27,108.001396,114.879280,107.722565,114.321617,88.254158,1957087
2011-07-04,114.507507,119.898277,114.368088,117.621140,90.801338,1770800
2011-07-11,116.831116,118.271751,111.533287,117.249367,90.514336,2104488
2011-07-18,116.412865,121.617752,116.087563,120.548889,93.061501,1940335
2011-07-25,119.433556,122.082474,117.760559,119.898277,92.559235,1984494
2011-08-01,121.664223,122.872505,103.633011,106.793121,82.442299,4018538
2011-08-08,105.724258,106.700172,95.779205,105.352486,81.330170,3678341
2011-08-15,106.096039,106.421341,94.199150,97.591621,75.338921,2048654
2011-08-22,96.290405,102.889458,95.825684,100.379959,77.491470,2317326
2011-08-29,102.517677,108.047867,101.541763,103.400650,79.823372,1726230
2011-09-05,102.935928,102.982399,98.195763,98.288704,75.877052,2748847
2011-09-12,96.569237,106.560760,93.780907,105.306007,81.294281,3413733
2011-09-19,103.725952,106.607231,95.965096,98.288704,75.877052,2545040
2011-09-26,96.708649,102.192375,89.198746,90.546440,69.900139,2911263
2011-10-03,88.631783,93.548546,84.114685,92.935112,71.744164,4125547
2011-10-10,93.780907,100.054649,93.316177,98.288704,75.877052,1518262
2011-10-17,98.753426,100.008179,93.687958,96.615707,74.585533,1811492
2011-10-24,97.173370,109.534981,96.755127,107.071953,82.657562,2444564
2011-10-31,106.142509,106.700172,98.428123,100.844681,77.850220,1881636
2011-11-07,100.658791,106.421341,98.892845,103.493591,79.895142,1963488
2011-11-14,104.051262,104.469513,99.264626,99.915237,77.132698,1591270
2011-11-21,99.543457,99.543457,92.990875,94.152679,72.684105,1510254
2011-11-28,95.268013,105.584846,94.989182,103.586540,79.966873,2018689
2011-12-05,104.841286,107.350784,101.820595,104.655396,80.792015,1501097
2011-12-12,103.958313,105.352486,97.731041,98.521065,76.056427,1781380
2011-12-19,97.638100,103.633011,97.219849,103.354179,79.787491,968998
2011-12-26,103.354179,104.515984,100.658791,102.842979,79.392853,544249
2012-01-02,102.889458,107.025482,102.889458,105.677788,81.581284,1512647
2012-01-09,105.677788,110.046173,105.027176,107.815506,83.231567,1486098
2012-01-16,106.886063,111.951538,106.607231,111.533287,86.101616,1476904
2012-01-23,111.765648,114.414558,109.860283,111.719177,86.245117,1281969
2012-01-30,111.068565,117.063477,110.371483,117.063477,90.370827,1209866
2012-02-06,116.691696,117.760559,114.693398,115.483421,89.151039,1035070
2012-02-13,116.226974,116.505814,110.650314,111.951538,86.424500,1727115
2012-02-20,112.462730,119.433556,112.276840,118.782951,91.698212,1730530
2012-02-27,118.039391,120.037697,116.226974,119.154724,91.985214,1089172
2012-03-05,119.154724,120.827728,115.297531,120.641838,93.133247,1366146
2012-03-12,120.037697,127.240891,119.991226,126.311447,97.510109,2080496
2012-03-19,125.939667,126.032616,121.292450,122.221893,94.353020,1645505
