<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SBER,60,20221118,200000,136.3700000,136.3700000,136.0200000,136.1700000
SBER,60,20221118,210000,136.1700000,136.3200000,136.0200000,136.0600000
SBER,60,20221118,220000,136.0600000,136.2600000,136.0000000,136.1600000
SBER,60,20221118,230000,136.1800000,136.5100000,136.0500000,136.3400000
SBER,60,20221119,000000,136.3700000,136.9500000,136.2900000,136.8900000
SBER,60,20221121,110000,136.0100000,136.3000000,134.7400000,134.7500000
SBER,60,20221121,120000,134.7500000,134.8200000,133.1800000,133.2600000
SBER,60,20221121,130000,133.2600000,133.8800000,132.8100000,133.6700000
SBER,60,20221121,140000,133.6600000,133.8400000,133.0300000,133.3800000
SBER,60,20221121,150000,133.4200000,133.8500000,133.0500000,133.5400000
SBER,60,20221121,160000,133.5300000,133.8200000,133.2600000,133.7800000
SBER,60,20221121,170000,133.7800000,134.4900000,133.7000000,134.0200000
SBER,60,20221121,180000,134.0200000,134.3000000,133.0000000,133.3000000
SBER,60,20221121,190000,133.3100000,133.4500000,133.0200000,133.3800000
SBER,60,20221121,200000,133.3000000,133.3000000,132.5100000,133.1900000
SBER,60,20221121,210000,133.1600000,134.2000000,133.1000000,134.1800000
SBER,60,20221121,220000,134.2000000,134.8700000,134.0800000,134.4000000
SBER,60,20221121,230000,134.3600000,134.4900000,134.2000000,134.2600000
SBER,60,20221122,000000,134.2400000,134.7000000,134.2000000,134.4600000
SBER,60,20221122,110000,134.5500000,135.2900000,133.8100000,135.0000000
SBER,60,20221122,120000,135.0000000,135.5800000,134.6200000,134.9600000
SBER,60,20221122,130000,134.9700000,135.4800000,134.7100000,134.9700000
SBER,60,20221122,140000,134.9900000,135.2500000,134.8500000,135.0900000
SBER,60,20221122,150000,135.0900000,135.1500000,134.5500000,134.6700000
SBER,60,20221122,160000,134.7000000,135.0600000,134.2200000,134.7200000
SBER,60,20221122,170000,134.7400000,135.3600000,134.6000000,135.0600000
SBER,60,20221122,180000,135.0600000,135.4600000,134.7300000,135.4000000
SBER,60,20221122,190000,135.4000000,135.8700000,135.2100000,135.7500000
SBER,60,20221122,200000,135.7900000,135.9500000,135.4100000,135.5600000
SBER,60,20221122,210000,135.5400000,136.0000000,135.5000000,135.8500000
SBER,60,20221122,220000,135.8500000,135.8500000,135.5100000,135.6200000
SBER,60,20221122,230000,135.6300000,135.7000000,135.5100000,135.5700000
SBER,60,20221123,000000,135.6000000,135.7700000,135.5500000,135.6500000
SBER,60,20221123,110000,135.7000000,135.8800000,134.7300000,134.9000000
SBER,60,20221123,120000,134.9200000,135.3000000,134.5000000,134.9700000
SBER,60,20221123,130000,134.9700000,137.3400000,134.7600000,137.2300000
SBER,60,20221123,140000,137.2300000,137.3200000,136.5000000,136.7800000
SBER,60,20221123,150000,136.7800000,137.0000000,136.3400000,136.9900000
SBER,60,20221123,160000,136.9900000,137.5500000,136.6600000,136.7900000
SBER,60,20221123,170000,136.7800000,136.8700000,136.2200000,136.4000000
SBER,60,20221123,180000,136.4000000,137.2000000,136.3000000,137.0000000
SBER,60,20221123,190000,137.0000000,137.1000000,136.6800000,136.8700000
SBER,60,20221123,200000,136.8100000,137.0000000,136.6200000,136.6300000
SBER,60,20221123,210000,136.6300000,136.7800000,136.5400000,136.7500000
SBER,60,20221123,220000,136.7500000,136.7900000,136.5700000,136.6000000
SBER,60,20221123,230000,136.6000000,136.9800000,136.5600000,136.6900000
